"game_1","game_2","game_3","game_4","game_5","game_6","game_7","overall_outcome"
"W","W","W","W","","","","W"
"W","W","W","L","W","","","W"
"W","W","L","W","W","","","W"
"W","L","W","W","W","","","W"
"L","W","W","W","W","","","W"
"W","W","W","L","L","W","","W"
"W","W","L","W","L","W","","W"
"W","W","L","L","W","W","","W"
"W","L","W","W","L","W","","W"
"W","L","W","L","W","W","","W"
"W","L","L","W","W","W","","W"
"L","W","W","W","L","W","","W"
"L","W","W","L","W","W","","W"
"L","W","L","W","W","W","","W"
"L","L","W","W","W","W","","W"
"W","W","W","L","L","L","W","W"
"W","W","L","W","L","L","W","W"
"W","W","L","L","W","L","W","W"
"W","W","L","L","L","W","W","W"
"W","L","W","W","L","L","W","W"
"W","L","W","L","W","L","W","W"
"W","L","W","L","L","W","W","W"
"W","L","L","W","W","L","W","W"
"W","L","L","W","L","W","W","W"
"W","L","L","L","W","W","W","W"
"L","W","W","W","L","L","W","W"
"L","W","W","L","W","L","W","W"
"L","W","W","L","L","W","W","W"
"L","W","L","W","W","L","W","W"
"L","W","L","W","L","W","W","W"
"L","W","L","L","W","W","W","W"
"L","L","W","W","W","L","W","W"
"L","L","W","W","L","W","W","W"
"L","L","W","L","W","W","W","W"
"L","L","L","W","W","W","W","W"
"W","W","W","L","L","L","L","L"
"W","W","L","W","L","L","L","L"
"W","W","L","L","W","L","L","L"
"W","W","L","L","L","W","L","L"
"W","L","W","W","L","L","L","L"
"W","L","W","L","W","L","L","L"
"W","L","W","L","L","W","L","L"
"W","L","L","W","W","L","L","L"
"W","L","L","W","L","W","L","L"
"W","L","L","L","W","W","L","L"
"L","W","W","W","L","L","L","L"
"L","W","W","L","W","L","L","L"
"L","W","W","L","L","W","L","L"
"L","W","L","W","W","L","L","L"
"L","W","L","W","L","W","L","L"
"L","W","L","L","W","W","L","L"
"L","L","W","W","W","L","L","L"
"L","L","W","W","L","W","L","L"
"L","L","W","L","W","W","L","L"
"L","L","L","W","W","W","L","L"
"W","W","L","L","L","L","","L"
"W","L","W","L","L","L","","L"
"W","L","L","W","L","L","","L"
"W","L","L","L","W","L","","L"
"L","W","W","L","L","L","","L"
"L","W","L","W","L","L","","L"
"L","W","L","L","W","L","","L"
"L","L","W","W","L","L","","L"
"L","L","W","L","W","L","","L"
"L","L","L","W","W","L","","L"
"W","L","L","L","L","","","L"
"L","W","L","L","L","","","L"
"L","L","W","L","L","","","L"
"L","L","L","W","L","","","L"
"L","L","L","L","","","","L"
